id,total_kills,total_deaths,total_time_played,total_planted_bombs,KD,cluster
76561198116881175,12750.0,15012.0,1011962.0,597.0,0.8493205435651479,0
76561198117145467,15137.0,11922.0,623774.0,199.0,1.2696695185371583,0
76561198118402519,2785.0,3910.0,263394.0,90.0,0.7122762148337596,0
76561198118874578,2799.0,3209.0,118862.0,43.0,0.8722343409161732,0
76561198119143627,192699.0,151655.0,9759249.0,6677.0,1.2706405987273746,2
76561198119343033,69256.0,41309.0,3438063.0,3803.0,1.6765353796993392,1
76561198119694333,5591.0,4431.0,409919.0,271.0,1.261791920559693,0
76561198120188221,3510.0,4052.0,101691.0,24.0,0.866238894373149,0
76561198120692938,80444.0,60417.0,5578075.0,3691.0,1.3314795504576526,1
76561198120905899,1068.0,1409.0,49892.0,100.0,0.7579843860894251,0
76561198121506095,48133.0,48549.0,3210636.0,2319.0,0.9914313374116872,1
76561198121631956,150542.0,132534.0,9255688.0,5188.0,1.1358745680353721,2
76561198121650321,5468.0,6602.0,532655.0,47.0,0.8282338685246895,0
76561198122351843,13338.0,11556.0,1161347.0,913.0,1.1542056074766356,0
76561198123428061,570.0,268.0,23252.0,39.0,2.126865671641791,0
76561198124196319,42990.0,38841.0,2847542.0,2251.0,1.1068201127674364,1
76561198124808959,45860.0,45360.0,2642437.0,1063.0,1.0110229276895943,1
76561198126045658,431.0,174.0,25855.0,13.0,2.4770114942528734,0
76561198126347625,358.0,467.0,17210.0,1.0,0.7665952890792291,0
76561198126640555,20209.0,21662.0,1872396.0,1363.0,0.9329240144031022,0
76561198127018884,365.0,475.0,34563.0,28.0,0.7684210526315789,0
76561198127625764,321.0,335.0,24920.0,4.0,0.9582089552238806,0
76561198129037316,14621.0,13243.0,820088.0,313.0,1.1040549724382693,0
76561198129147709,34130.0,35739.0,2666556.0,2277.0,0.9549791544251378,1
76561198129320374,15630.0,9075.0,741731.0,1269.0,1.7223140495867768,0
76561198130440185,0.0,0.0,0.0,0.0,0.0,0
76561198131213406,0.0,0.0,0.0,0.0,0.0,0
76561198134492447,0.0,0.0,0.0,0.0,0.0,0
76561198134890522,240.0,361.0,8669.0,1.0,0.6648199445983379,0
76561198134981754,165.0,68.0,3243.0,3.0,2.426470588235294,0
76561198135299051,1935.0,2439.0,150587.0,82.0,0.7933579335793358,0
76561198136214147,113464.0,96400.0,6745979.0,4440.0,1.1770124481327802,1
76561198138304277,29665.0,21411.0,1420006.0,793.0,1.385502778945402,0
76561198138499028,23222.0,25693.0,1608037.0,541.0,0.9038259448098704,0
76561198139659894,85.0,132.0,8052.0,1.0,0.6439393939393939,0
76561198140767129,74.0,68.0,4126.0,1.0,1.088235294117647,0
76561198140914275,8938.0,5663.0,790656.0,498.0,1.5783153805403496,0
76561198141046206,5578.0,4803.0,254830.0,109.0,1.1613574849052675,0
76561198141166803,613.0,531.0,19483.0,4.0,1.1544256120527308,0
76561198141267845,1413.0,506.0,33113.0,41.0,2.792490118577075,0
76561198142495663,1670.0,2580.0,129711.0,18.0,0.6472868217054264,0
76561198142665517,35862.0,34846.0,2796327.0,2484.0,1.029156861619698,1
76561198142735533,1400.0,1084.0,99047.0,113.0,1.2915129151291513,0
76561198143037252,1941.0,1208.0,52818.0,38.0,1.6067880794701987,0
76561198143715730,495.0,311.0,18663.0,12.0,1.5916398713826367,0
76561198144249412,24077.0,43531.0,1867248.0,420.0,0.5531000895913257,0
76561198145150876,2243.0,2793.0,265514.0,124.0,0.8030791263873971,0
76561198145345268,376.0,395.0,17403.0,1.0,0.9518987341772152,0
76561198145523859,65792.0,66040.0,4853377.0,1782.0,0.9962447001817081,1
76561198146305977,118277.0,190317.0,8525803.0,2972.0,0.621473646600146,2
76561198147729322,98.0,47.0,4536.0,17.0,2.0851063829787235,0
76561198148203024,2010.0,2298.0,202278.0,164.0,0.8746736292428199,0
76561198148757022,2366.0,2260.0,83743.0,22.0,1.0469026548672566,0
76561198148947251,100137.0,74095.0,6519452.0,3972.0,1.35146771037182,1
76561198149388766,35890.0,30004.0,1704179.0,1153.0,1.196173843487535,0
76561198150060942,10112.0,7256.0,605447.0,469.0,1.3936052921719957,0
76561198150195309,18104.0,17741.0,1616796.0,643.0,1.020461078856885,0
76561198151019827,576.0,665.0,60990.0,37.0,0.8661654135338346,0
76561198152371698,6.0,84.0,2297.0,2.0,0.07142857142857142,0
